id,title
1,Cloud Code とコンテナツールで Kubernetes を使った開発を徹底効率化。Kubernetes を使った開発は、今やデファクトと呼べるほどに普及しました。Kubernetes クラスタ管理を Google Kubernetes Engine にオフロードできる一方で、Kubernetes を使った開発では、従来とは異なった知識、開発フローが求められます。「Kubernetes の学習コストが高い」「ローカル開発で手間がかかる」といった声を耳にすることも多いでしょう。 本セッションでは、Cloud Code、skaffold、Tekton などを使って、Kubernetes 開発をどのように効率化するか、デモを中心にご紹介します。Kubernetes は怖くない！
2,Cloud Run 〜Knative を使った新しいサーバーレス。Kubernetes 上でサーバーレスを実現するオープンソースソフトウェア「Knative」は昨年の Google Cloud Next 2018 in San Francisoで発表されて以来、注目を集めてきました。この Knative をベースにした新しいサーバーレス サービス「Cloud Run」が GCP で遂にリリースされました。本セッションでは Cloud Run を使って具体的にどういったことが出来るのかデモを交えながら説明します。また App Engine や Cloud Functions といった GCP の他のサーバーレス サービスとの使い分けのポイントなどについても説明します。
3,メルペイのマイクロ サービスを支える GKE と Cloud Spanner。2019 年 2 月にリリースしたメルペイのサービスでは、マイクロサービスアーキテクチャを採用し、そのインフラに Google Kubernetes Engine（GKE）と Cloud Spanner を利用しています。多くのお客様からのリクエストを処理するために、なぜメルペイは GKE と Spanner を選択し、どのようにシステムを設計、開発したか、またメルペイの決済を支えるマイクロサービスを Google Cloud Platform の上でどのように運用しているかを説明します。
4,Twitter 登壇！INSIDE Digital 〜 グローバル規模で活躍するサービス事業社の裏側 〜。インターネットサービス業界で活躍するエンジニアの皆様に向けたイベント『Google Cloud INSIDE Digital』を Next Tokyo 特別エディションとして開催します。今回は、グローバル規模でインターネットサービスを提供する Twitter をゲストスピーカーに迎え、普段知ることのできない開発の裏側や、Google Cloud Platform 活用方法を紹介いただきます。また来場者参加型企画としてLT 大会も開催します。
5,進化する音声認識 : 音声コマンドや IVR の最適化から音声分析まで。クラウドをベースとする音声認識サービスは、従来よりも導入が簡単で、認識の精度もより正確になり、人間のレベルに確実に近づいています。しかし、自然言語ベースのユース ケースはますます複雑化し、高まるユーザーの期待と相まって、以前は「十分」だった認識レベルでも、現在では優れたエンドユーザーエクスペリエンスを作り出すのに十分ではありません。このセッションでは、高度なテクニックによって認識の精度を高める方法、音声分析からインサイトを得る方法、音声認識と翻訳処理をリアルタイムで実行するソリューションの構築方法について解説します。
6,GCP で実現する次世代ネット通販レコメンデーション。データ解析プラットフォーム『ASKUL-EARTH』上でネット通販のレコメンデーションエンジンの開発を行い、その結果、カゴ入れ率が大幅に向上した。本セッションでは既存の大規模システムに一からデータ基盤を構築しレコメンド機能を提供するまでの流れを振り返るとともに、その過程でいかに GCP の各種サービスを活用したか解説する。またレコメンド精度のさらなる向上とともに、物流モデルとの連携によるビジネス全体の最適化に向けた今後の取り組みを紹介する。
7,Site Reliability Engineering 入門。Site Reliability Engineering（SRE）は、Gmail や Google 検索のような大規模システムをサポートするために Google によって生み出されました。このセッションでは、世界的なサービスを確実に運用するにあたって Google が用いている SRE のプラクティスと原則について見ていきます。
8,"Istio, Kubernetes, Spinnaker を使ったカナリア デプロイメント。Istio, Kubernetes, Spinnaker を使うことで、カナリアデプロイメントなど高度なロールアウトパターンをサポートし、アプリケーションを安全かつ簡単にデプロイすることが可能です。本セッションではこれらを如何に GCP 上で実現するか、最新のプロダクト情報も交えながら説明します。"
9,Cloud Spanner in Action。このセッションでは Cloud Spanner の特徴をご紹介し、さらにプロダクション環境での利用時に必要となる、データのエクスポート、モニタリングツールの活用、Spanner 特有のクエリ実行方式の違い等について、実際の操作画面やデモを通じてより詳細に解説します。 このセッションは普段から RDBMS を使用して開発、運用しているデータベースエンジニアやアプリケーションデベロッパー向けのセッションとなります。
10,関数型オブジェクト指向命令型 Scala。Scala は、オブジェクト指向、関数型プログラミング、命令型プログラミングといった複数のパラダイムを組み合わせます。Scala を、ボイラープレートが少ないオブジェクト指向な「better Java」として使ってしまったり、関数型なコードにだけ集中して「worse Haskell」として使うという甘い話に騙されてしまう人も多いと思います。本セッションでは、上記全てのパラダイムの全てを受け止め、利点をシンプルに組み合わせた「退屈な」Scala スタイルを紹介します。関数型のコードを基本としますが、コードを簡潔にするときは可変性を使うことをいとわず、またモジュール化されたコンポーネントにはオブジェクト指向も使います。
11,Scala における型クラス入門。型クラスと呼ばれる概念をScalaではどのように実現していて、それをどのようにして利用するかについて、関連するトピックも含めて基本から解説する。わかりやすさのため、できるだけ抽象的な説明を避け、具体的な例をもとに説明する。Scalaz や Cats のような主要なライブラリについても簡単に触れる。可能であれば、Scala3 以降でどのようになるかについても話したいと考えている。
